sentence,difficulty,num_chars,num_words,avg_word_length,num_stopwords,ratio_num_words_over_stopwords,PRON,AUX,ADP,SCONJ,PUNCT,num_words_before_first_verb,VERB,ADJ,ADV,,NOUN,DET,CCONJ,PER,PART,INTJ,MISC,PROPN,LOC,ORG,NUM,X,Text_english_translation,hamming,hamming_normalized_similarity,levenshtein,levenshtein_normalized_similarity,jaro_winkler,jaccard,sorensen
Je ne comprends pas.,A1,20,4,4.25,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I do not understand.,18.0,0.09999999999999998,15.0,0.25,0.6222222222222222,0.0,0.0
Je ne te crois pas.,A1,19,5,3.0,2.0,2.5,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I do not believe you.,19.0,0.09523809523809523,16.0,0.23809523809523814,0.6232247284878863,0.0,0.0
Je ne me sens pas bien.,A1,23,6,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I do not feel good.,20.0,0.13043478260869568,18.0,0.21739130434782605,0.5062929061784897,0.0,0.0
Tu ne comprends pas.,A1,20,4,4.25,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,You do not understand.,20.0,0.09090909090909094,15.0,0.31818181818181823,0.6444055944055944,0.0,0.0
C'est pour la photo !,A1,21,5,3.4,2.0,2.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s for the photo!,23.0,0.0,14.0,0.3913043478260869,0.651165259860912,0.0,0.0
"Je suis désolée, elle n'est pas là.",A1,35,7,4.142857142857143,3.0,2.3333333333333335,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"I&#39;m sorry, she&#39;s not here.",33.0,0.05714285714285716,28.0,0.19999999999999996,0.5121381886087768,0.0,0.0
Je n'ai pas bien compris.,A1,25,5,4.2,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I did not understand very well.,31.0,0.0,26.0,0.16129032258064513,0.5276804915514594,0.0,0.0
Je suis d'accord.,A1,17,3,5.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I agree.,17.0,0.0,14.0,0.17647058823529416,0.28921568627450983,0.0,0.0
Ce n'est pas important.,A1,23,4,5.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It does not matter.,19.0,0.17391304347826086,15.0,0.34782608695652173,0.6627983000980713,0.0,0.0
Et toi ?,A1,8,3,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,And you ?,9.0,0.0,5.0,0.4444444444444444,0.6481481481481481,0.2,0.3333333333333333
Mais il y a un problème .,A1,25,7,2.7142857142857144,3.0,2.3333333333333335,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,But there is a problem .,17.0,0.31999999999999995,15.0,0.4,0.6980718954248366,0.18181818181818182,0.3076923076923077
Est-ce que ça suffit?,A1,21,4,4.5,1.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Is that enough?,20.0,0.04761904761904767,16.0,0.23809523809523814,0.513095238095238,0.0,0.0
Il n'a pas de veste,A1,19,5,3.0,2.0,2.5,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,He has no jacket,17.0,0.10526315789473684,14.0,0.26315789473684215,0.6046539961013645,0.0,0.0
Va-t'en !,A1,9,2,4.0,0.0,inf,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Go away !,7.0,0.2222222222222222,7.0,0.2222222222222222,0.5555555555555555,0.25,0.4
Qu'est-ce que tu regardes ?,A1,27,5,4.6,2.0,2.5,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What are you watching ?,26.0,0.03703703703703709,20.0,0.2592592592592593,0.5540278293901483,0.1111111111111111,0.2
Pourquoi il ne parle pas ?,A1,26,6,3.5,3.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Why isn&#39;t he talking?,26.0,0.0,22.0,0.15384615384615385,0.4615384615384615,0.0,0.0
C'est fini.,A1,11,2,5.0,0.0,inf,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s finish.,16.0,0.0,10.0,0.375,0.7007575757575758,0.0,0.0
Est-ce qu'il y a du pain?,A1,25,6,3.3333333333333335,2.0,3.0,3.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Is there any bread?,21.0,0.16000000000000003,19.0,0.24,0.5517703349282296,0.0,0.0
"C'est ici, Monsieur.",A1,20,3,6.0,0.0,inf,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"It&#39;s here, sir.",20.0,0.0,17.0,0.15000000000000002,0.5884370015948964,0.0,0.0
Qu'est-ce qu'ils font ?,A1,23,4,5.0,0.0,inf,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What are they doing ?,23.0,0.0,17.0,0.26086956521739135,0.5703243616287095,0.125,0.2222222222222222
Qu'est ce que vous faites dans le parc?,A1,39,8,4.0,5.0,1.6,4.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What are you doing in the park?,34.0,0.1282051282051282,23.0,0.41025641025641024,0.5859939343810311,0.0,0.0
Ne m'attends pas.,A1,17,3,5.0,0.0,inf,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Do not wait for me.,18.0,0.052631578947368474,15.0,0.21052631578947367,0.498157157599882,0.0,0.0
Y a-t-il de la place pour moi avec vous ?,A1,41,10,3.2,6.0,1.6666666666666667,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Is there room for me with you?,36.0,0.12195121951219512,28.0,0.31707317073170727,0.5685636856368563,0.0,0.0
Pas de fête avec vous ce soir,A1,29,7,3.2857142857142856,4.0,1.75,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No party with you tonight,29.0,0.0,22.0,0.24137931034482762,0.4816091954022988,0.0,0.0
Ça ne marche pas.,A1,17,4,3.5,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,It does not work.,15.0,0.11764705882352944,15.0,0.11764705882352944,0.5126050420168067,0.0,0.0
Je reste à la maison,A1,20,5,3.2,2.0,2.5,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I&#39;m staying at home,23.0,0.0,20.0,0.13043478260869568,0.5245718050065876,0.0,0.0
Est-ce qu'il y a des devoirs?,A1,29,6,4.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Are there any homework?,29.0,0.0,21.0,0.27586206896551724,0.506288522405464,0.0,0.0
Il est gros.,A1,12,3,3.3333333333333335,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,He&#39;s fat.,13.0,0.0,12.0,0.07692307692307687,0.547008547008547,0.0,0.0
Je suis désolé,A1,14,3,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I am sorry,14.0,0.0,11.0,0.2142857142857143,0.4785714285714286,0.0,0.0
S'il vous plaît.,A1,16,3,4.666666666666667,1.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Please.,16.0,0.0,13.0,0.1875,0.4702380952380952,0.0,0.0
J'ai mal à la tête.,A1,19,5,3.0,2.0,2.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I have a headache.,18.0,0.052631578947368474,14.0,0.26315789473684215,0.4968323586744639,0.0,0.0
Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro,A1,65,13,4.076923076923077,6.0,2.1666666666666665,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I don&#39;t have a car and I don&#39;t really like taking the metro,64.0,0.04477611940298509,54.0,0.19402985074626866,0.6227525376779108,0.0,0.0
Où est-ce que vous allez Madame ?,A1,33,7,3.857142857142857,2.0,3.5,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Where are you going Madam?,29.0,0.12121212121212122,18.0,0.4545454545454546,0.6167443667443667,0.0,0.0
Non.,A1,4,1,4.0,0.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No.,2.0,0.5,1.0,0.75,0.9166666666666666,0.0,0.0
Oui c'est pour combien de personnes ?,A1,37,7,4.428571428571429,2.0,3.5,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes it is for how many people?,31.0,0.16216216216216217,24.0,0.3513513513513513,0.6547638547638548,0.0,0.0
"Et chez vous, comment va la vie ?",A1,33,8,3.25,1.0,8.0,1.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"And at home, how&#39;s life?",33.0,0.0,24.0,0.2727272727272727,0.5604256854256854,0.0,0.0
Il ne vient pas à la fête ce soir,A1,33,9,2.7777777777777777,5.0,1.8,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,He&#39;s not coming to the party tonight,38.0,0.050000000000000044,31.0,0.22499999999999998,0.552020202020202,0.0,0.0
Je me sens bien.,A1,16,4,3.25,1.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I feel good.,15.0,0.0625,11.0,0.3125,0.5097222222222223,0.0,0.0
J'ai une question.,A1,18,3,5.333333333333333,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I have a question.,8.0,0.5555555555555556,8.0,0.5555555555555556,0.7378917378917379,0.16666666666666666,0.2857142857142857
Tu n'as pas de stylo ?,A1,22,6,2.8333333333333335,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don&#39;t you have a pen?,24.0,0.040000000000000036,21.0,0.16000000000000003,0.5754312354312354,0.0,0.0
D'où viens-tu ?,A1,15,3,4.333333333333333,0.0,inf,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Where do you come from ?,24.0,0.0,19.0,0.20833333333333337,0.4388888888888889,0.125,0.2222222222222222
Il a mal à la tête à cause de la musique.,A1,41,11,2.8181818181818183,5.0,2.2,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,He has a headache from the music.,37.0,0.09756097560975607,28.0,0.31707317073170727,0.6319906380881991,0.058823529411764705,0.1111111111111111
Tu viens d'où ?,A1,15,4,3.0,0.0,inf,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Where do you come from ?,23.0,0.04166666666666663,19.0,0.20833333333333337,0.5388888888888889,0.1111111111111111,0.2
C'est facile !,A1,14,3,4.0,0.0,inf,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s easy !,15.0,0.0,13.0,0.1333333333333333,0.5603174603174603,0.2,0.3333333333333333
Il est l'heure de déjeuner !,A1,28,6,3.8333333333333335,2.0,3.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It is time for lunch !,24.0,0.1428571428571429,18.0,0.3571428571428571,0.6280663780663781,0.09090909090909091,0.16666666666666666
Il est peut-être chez moi.,A1,26,5,4.4,1.0,5.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,He might be at my house.,23.0,0.11538461538461542,21.0,0.1923076923076923,0.5644078144078144,0.0,0.0
As-tu besoin de quelque chose?,A1,30,5,5.2,1.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Do you need something?,30.0,0.0,23.0,0.23333333333333328,0.6493686868686869,0.0,0.0
"Ici, c'est mon bureau.",A1,22,4,4.75,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Here is my office.,20.0,0.09090909090909094,16.0,0.2727272727272727,0.6127946127946128,0.0,0.0
"Moi, je ne vais jamais chez elle.",A1,33,7,3.857142857142857,2.0,3.5,2.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I never go to her house.,30.0,0.09090909090909094,23.0,0.303030303030303,0.5598484848484849,0.0,0.0
Comment ça va ?,A1,15,4,3.0,0.0,inf,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,How is it going ?,16.0,0.05882352941176472,12.0,0.2941176470588235,0.5287581699346405,0.125,0.2222222222222222
J'ai un frère et une soeur.,A1,27,6,3.6666666666666665,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I have a brother and a sister.,26.0,0.1333333333333333,21.0,0.30000000000000004,0.6536673928830791,0.0,0.0
Qu'est-ce que tu penses de cette peinture ?,A1,43,8,4.5,3.0,2.6666666666666665,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What do you think of this painting?,42.0,0.023255813953488413,30.0,0.3023255813953488,0.5146671588532054,0.0,0.0
Qu'est-ce qu'il a ton petit chat ?,A1,34,7,4.0,1.0,7.0,2.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What&#39;s wrong with your little cat?,37.0,0.02631578947368418,29.0,0.23684210526315785,0.6446358863911698,0.0,0.0
Qu'en pensez-vous ?,A1,19,3,5.666666666666667,0.0,inf,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What do you think ?,17.0,0.10526315789473684,17.0,0.10526315789473684,0.43274853801169594,0.14285714285714285,0.25
Elle ne travaille pas,A1,21,4,4.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,She does not work,20.0,0.04761904761904767,19.0,0.09523809523809523,0.5338468720821662,0.0,0.0
Je n'aime pas le pain.,A1,22,5,3.6,2.0,2.5,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I don&#39;t like bread.,21.0,0.08695652173913049,19.0,0.17391304347826086,0.5297760210803689,0.0,0.0
"Oui, ça va, merci.",A1,18,4,3.75,0.0,inf,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Yes I&#39;m fine thanks.,23.0,0.04166666666666663,21.0,0.125,0.46759259259259256,0.0,0.0
Qu'est-ce que vous faites le samedi et le dimanche ?,A1,52,10,4.3,5.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What do you do on Saturday and Sunday?,51.0,0.019230769230769273,39.0,0.25,0.520310391363023,0.0,0.0
J'ai une soeur,A1,14,3,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I have a sister,13.0,0.1333333333333333,11.0,0.2666666666666667,0.6079365079365079,0.0,0.0
Elle est petite.,A1,16,3,4.666666666666667,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,She is small.,16.0,0.0,11.0,0.3125,0.5657051282051282,0.0,0.0
C'est une chance pour lui : il va gagner un peu plus d'argent.,A1,62,13,3.8461538461538463,5.0,2.6,3.0,1.0,2.0,0.0,2.0,9.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,It&#39;s a chance for him: he will earn a little more money.,60.0,0.032258064516129004,42.0,0.32258064516129037,0.6433298365241717,0.041666666666666664,0.08
Qu'est-ce que tu fais pour les vacances cette année,A1,51,9,4.777777777777778,4.0,2.25,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What are you doing for the holidays this year,48.0,0.05882352941176472,38.0,0.2549019607843137,0.5420144126026479,0.0,0.0
Je suis désolée.,A1,16,3,4.666666666666667,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I&#39;m sorry.,15.0,0.0625,12.0,0.25,0.5119047619047619,0.0,0.0
Qu'est-ce que tu vas faire l'année prochaine,A1,44,7,5.428571428571429,2.0,3.5,1.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What are you gonna do next year,41.0,0.06818181818181823,34.0,0.2272727272727273,0.615347018572825,0.0,0.0
Je reste avec toi.,A1,18,4,3.75,1.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,I stay with you.,18.0,0.0,12.0,0.33333333333333337,0.6601851851851852,0.0,0.0
