Text,Difficulty
"""Pour avoir plus d’informations, tu peux venir voir le médecin de l’école tous les jours au bureau 4B, au 4e étage.""",A2
"""Okapi fait partager ses coups de cœur : rencontres de stars, critiques, choix des lecteurs.""",A2
"""Elle permet aussi de montrer que les sciences et les technologies sont faciles et intéressantes.""",A2
"""Lors de l’achat de vos billets, n’oubliez surtout pas de : préciser votre situation familiale (réductions possibles), demander le justificatif (facture justifiant le paiement).""",A2
"""C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.""",A2
"""Je t’embrasse.""",A2
"""Vivement que tout soit fini, que le village redevienne ce qu’il était.""",A2
"""Théo, de la cave de Visan, livre à la ferme entre 50 et 60 bouteilles tous les dix jours.""",A2
"""Un CV clair et lisible est important mais pas autant qu’un entretien téléphonique.""",A2
"""C’est super, je fais plein de choses avec mes cousins: aujourd’hui, on est allés à la piscine et demain, on va faire du camping en forêt.""",A2
"""Anna Gavalda signe ici son tout premier roman pour la jeunesse.""",A2
"""Respectez l’interdiction d’utiliser les ascenseurs.""",A2
"""Et le premier samedi de chaque mois, venez rencontrer des conducteurs de train !""",A2
"""Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?""",A2
"""Bimensuel créé en 1971.""",A2
"""Nous sommes dans une région viticole.""",A2
"""Mes parents disent que l’île est très jolie : il y a de très belles plages, on va pouvoir nager.""",A2
"""Pour le remboursement, envoyez au bureau du personnel, à la fin du mois, vos titres de transports utilisés.""",A2
"""Et toi, qu’est-ce que tu vas faire ?""",A2
"""Tu vas bien? Moi, je suis en vacances chez oncle Guillaume et tante Noémie.""",A2
"""Nous avons gagné 206€.""",A2
"""Dans le cas d’un premier remboursement, joignez un relevé d’identité bancaire (RIB).""",A2
"""Le bureau est en face de la machine à café.""",A2
"""Il me reste une place.""",A2
"""Depuis 2001, les ambassadeurs de l’accueil se mettent, chaque été, au service des visiteurs français et étrangers.""",A2
"""« La ferme » de TF1, est aujourd’hui le principal sujet de discussion à Visan (Vaucluse), du salon de coiffure à la boulangerie.""",A2
"""Ne pas avaler.""",A2
"""Quand les rencontrer?""",A2
"""Je n’avais jamais vu autant de monde à Visan, confie Claude, agriculteur.""",A2
"""N’oubliez pas votre appareil photo !""",A2
"""Cuire environ 30 minutes au four à 180-200°C.""",A2
"""C’est avec grand plaisir que je vous envoie ce message pour vous décrire votre voyage à Paris en notre compagnie.""",A2
"""Cette année, du 18 juin au 31 août, ils seront là pour vous aider et vous conseiller !""",A2
"""Dans ce musée, vous pouvez voir 10 trains électriques qui se déplacent dans de magnifiques décors, mais aussi des films sur l’histoire des trains français.""",A2
"""Des ambassadeurs et un guide estival pour mieux accueillir les touristes.""",A2
"""Il a déjà inventé une machine à enlever la peau des bananes !""",A2
"""C'est la question que se pose Grégoire.""",A2
"""Pensez à prendre rendez-vous.""",A2
"""C’est une fête très joyeuse où tout le monde met des vêtements pleins de couleurs.""",A2
"""Mélangez le lait, la crème, les jaunes d’œufs et le sucre.""",A2
"""Quand tu sors de l’ascenseur, tourne à droite et encore à droite.""",A2
"""Le président du festival va annoncer le grand gagnant le soir du 27 juin.""",A2
"""Il paraît qu’on mange bien : l’une des spécialités de l’île est le fromage de chèvre.""",A2
"""Jacques Le Cornec, le maire de Brest, a fêté samedi l’ouverture d’un nouveau musée, créé par Jean Jumel, un passionné de petits trains depuis qu’il a 5 ans.""",A2
"""Bon appétit !""",A2
"""Ce guide est disponible dans toutes les librairies au prix de 6 euros.""",A2
"""AVENTURE GLOBALE vous invite à faire le tour du monde en bateau, à bord d’un magnifique voilier.""",A2
"""Mais les journalistes nous snobent et nous étiquettent paysans.""",A2
"""Le gâteau est dans le frigo.""",A2
"""Tous les 15 jours, Okapi emmène les 10-15 ans à la découverte du monde et propose.""",A2
"""On fournit de 30 à 80 baguettes par jour à la production, c’est rentable.""",A2
"""Quand je rentre, je demande à mes parents si je peux t’appeler pour avoir de tes nouvelles.""",A2
"""Avant de faire cet achat, vous devez comparer les ordinateurs en fonction du poids, de la taille, etc.""",A2
"""Cette année, nous avons demandé à nos parents de faire des gâteaux et nous les avons vendus.""",A2
"""Je sais que tu ne connais pas Paris alors je te propose de venir passer quelques jours chez moi.""",A2
"""L’actrice française Bérénice Béjo, qui a gagné un prix pour son dernier film le 24 février dernier, va ouvrir la fête le 16 juin.""",A2
"""Il devint guide de haute montagne.""",B1
"""Ainsi, à Barcelone, le quartier historique se vide peu à peu de ses habitants qui, pour des raisons économiques, préfèrent déménager en banlieue.""",B1
"""Évolution professionnelle Toutes les enseignes de la grande distribution ont choisi Internet comme canal de distribution ou de commande.""",B1
"""La sixième Semaine pour l'emploi en leur faveur entend les combattre.""",B1
"""J’ai vraiment dû beaucoup insister pour être choisi !""",B1
"""Faire de la philosophie avec des intonations alsaciennes ?""",B1
"""Voix aimable et agréable, patience permanente et bonne résistance au stress indispensables !""",B1
"""Pour les habitants des quartiers historiques, la vie n’est plus la même : les rues pleines de touristes perdent peu à peu leurs magasins de quartier.""",B1
"""Cette situation pourrait laisser croire qu’il y a un retard dans l’apprentissage d’une des deux langues, mais quand on étudie le vocabulaire des enfants bilingues et monolingues à trois ans, on trouve le même nombre de mots, en moyenne.""",B1
"""Fin 2001, 87 pays avaient signé ce protocole et 10 l’avaient ratifié, ratification qui a permis à ce texte d’entrer en vigueur le 12 février 2002.""",B1
"""C'est justement ce que tentent de faire les associations de prévention en effectuant un travail de longue haleine.""",B1
"""Mais dans leur vie quotidienne, comme à l’école ou avec leurs copains, c’est clair, c’est le français qui l’emporte.""",B1
"""Longtemps, la France a répondu non.""",B1
"""Le maître et le chien doivent bien se connaître mais aussi et surtout bien se comprendre.""",B1
"""Le centre Anatole France est situé dans le centre-ville, à quelques pas de la mairie.""",B1
"""Le centre Victor Hugo, situé à 20 minutes en bus de la mairie, dans le quartier des universités, est un lieu pour tous, petits et grands, jeunes et moins jeunes.""",B1
"""Les responsables de l’Unicef ont assuré que cette action serait poursuivie en 2002 afin de soustraire tous les enfants-soldats du SPLA (environ 10 000) à l’enfer des conflits.""",B1
"""), le café-lecture avec des journaux, un ordinateur en accès libre et du wifi, et une salle d’exposition accueillant les productions réalisées dans le centre.""",B1
"""Mais ces qualités ne suffisent plus, il faut avoir aussi aujourd’hui une très bonne orthographe car de nombreuses demandes passent par courriel.""",B1
"""Une exception, dans un paysage audiovisuel où il y a beaucoup de règles.""",B1
"""Il peut également effectuer des enquêtes de marché.""",B1
"""Aujourd'hui, rappellent-elles, 215 000 personnes handicapées sont à la recherche d'un emploi et restent, en moyenne, deux fois plus longtemps sans activité .""",B1
"""Huit projets vont être sélectionnés pour la finale québécoise, du 19 au 22 avril, au centre culturel de l’université de Sherbrooke.""",B1
"""Dans cette ville, tout comme à Paris et Londres, les autorités ont déjà décidé de mettre en place des règles pour limiter la durée de location.""",B1
"""Elle, jeune, sportive, en jogging noir, profession : éducatrice de chiens guides d’aveugles.""",B1
"""Les recrutements s’effectuent essentiellement à partir de critères liés à la voix, au bon contact et à l’expression orale de la personne.""",B1
"""Mais cette année-là, l'hiver est très rude.""",B1
"""Elle est exclue du commerce .""",B1
"""Je mets tous mes efforts et toute mon énergie exclusivement dans le travail.""",B1
"""Le télévendeur traite en moyenne une centaine d’appels par jour.""",B1
"""Souvent plus productif que les autres , il crée un effet fédérateur dans une équipe de travail où les petits problèmes courants sont relativisés .""",B1
"""courses directement dans le magasin.""",B1
"""Situé dans le magnifique parc des Augustes, en plein cœur de ville, vous y trouverez des salles aménagées pour les stages de photo et de cuisine (pendant les vacances scolaires), des cours de danse (moderne-jazz, classique, indienne, etc.""",B1
"""C’est en représentant mon journal, Le Parisien, à l’émission Res Publica, à la radio, que j’ai rencontré Jean-Luc Hess, qui dirigeait alors la station.""",B1
"""Pour lui, parler sa langue maternelle avec ses filles, c’est surtout transmettre quelque chose de la culture danoise.""",B1
"""J’ai été me plaindre à la mairie mais ça n’a servi à rien !""",B1
"""Ils ont déjà l'obligation de les ramener chez eux.""",B1
"""De la même façon, le gouvernement de la République du Congo (RDC) s’est engagé, en mai 2002, à démobiliser des milliers d’enfants servant dans son armée.""",B1
"""À Orléans, Nice, Cannes et dans une dizaine d'autres communes, les maires ont pris la décision d'instaurer un couvre-feu pour les mineurs de moins de treize ans.""",B1
"""Aujourd'hui, 26% des personnes handicapées sont au chômage.""",B1
"""C’est le cas également de nombreuses ONG qui, dans des dizaines de pays, viennent en aide aux enfants-soldats, assurant leur protection et leur garantissant, quand c’est possible, un suivi médical et une scolarisation.""",B1
"""Maintenant, les rues se remplissent de restaurants chics, de boutiques de souvenirs et de valises à roulettes.""",B1
"""Elle est marquée par une reprise de la polémique sur les Centres d'Aide par le Travail.""",B1
"""Le développement d’Internet a engendré de nouveaux « profils » comme celui de vendeur itinérant.""",B1
"""Peut-on évoquer des sujets sérieux avec un accent du Sud de la France ?""",B1
"""Depuis sa création, le 20 septembre 1946, pour fêter la fin de la guerre, cette fête du cinéma conduit toujours plus d’acteurs et de cinéastes sur le tapis rouge, heureux de monter les vingt-quatre marches devant les appareils photos des journalistes du monde entier.""",B1
"""D'après des témoignages de chefs d'entreprise recueillis dans le Guide France Info Le salarié handicapé dans l'entreprise, ce dernier est un salarié comme les autres, avec en plus, la volonté de s'en sortir .""",B1
"""Ce n’est qu’en Irlande, là où vit ma famille, et au bout de quelques semaines, qu’il fait des phrases en anglais.""",B1
"""En effet, il n'est pas normal qu'un enfant ou un ado de moins de treize ans erre en pleine nuit dans les rues.""",B1
"""En traitant ainsi les ados de certains quartiers, le risque existe de les isoler encore davantage et d'accroître les tensions.""",B1
"""Sur le fond, tout le monde est d'accord.""",B1
"""Entre mai et novembre 2001, une campagne analogue menée au Sierra Leone, a permis de libérer quelque 2900 enfants.""",B1
"""Je reçois par exemple des couples franco-espagnols qui n’ont qu’une envie : que leur enfant apprenne l’anglais.""",B1
"""Jean-Michel Aphatie est une exception.""",B1
"""Vous pourrez y pratiquer les arts plastiques, le théâtre, la danse ou le yoga.""",B1
"""Dans cette profession, le renouvellement de personnel est important.""",B1
"""Le handicap, lorsqu'il est visible, est encore trop souvent associé à l'incompétence.""",B1
"""Certains d’entre eux sont morts dans des guerres récentes.""",B1
"""Pourtant, 87% des entreprises qui emploient des travailleurs handicapés s'en disent satisfaites et 62% des entreprises qui n'en emploient pas estiment qu'une telle expérience pourrait se dérouler de manière satisfaisante , selon un sondage réalisé en vue de la semaine d'action.""",B1
"""Malheureusement, on voit souvent la capacité à parler anglais comme une force, mais pas forcément d’autres langues, regrette Barbara Abdelilah-Bauer.""",B1
"""On ne se sent plus chez soi.""",B1
"""Venez profitez du studio d’enregistrement et de la salle de répétitions !""",B1
"""Il apprendra à ne pas courir après un ballon ou à ne pas avoir peur du klaxon des voitures.""",B1
"""La science en fait partie.""",B1
"""Les Franciliens sont invités par les organisateurs à manifester leur soutien à l'intégration des personnes handicapées dans le monde du travail, en apposant l'empreinte colorée de leurs mains sur des livres géants .""",B1
"""Personne ne discutait de ses grandes qualités professionnelles.""",B1
"""Parfois l’activité peut se faire à domicile.""",B1
"""L’avenir paraît encore plus sombre.""",B1
"""Équipé d’une caméra, d’un téléphone portable et d’un ordinateur, il aide le client à faire ses courses directement dans le magasin.""",B1
"""C’est le cas surtout du Fonds des Nations unies pour l’enfance (Unicef).""",B1
"""Aujourd’hui, le quartier ne compte plus que 15 624 résidents à l’année alors qu’ils étaient 27 470 en 2006.""",B1
"""Je regrette tout de suite après car j’ai peur qu’il associe la langue anglaise à quelque chose de désagréable.""",B1
"""Je leur apprends des chansons en danois et elles regardent aussi des dessins animés en danois.""",B1
"""Les spécialistes de la violence chez les adolescents rappellent qu'il est dangereux de les considérer comme une armée menaçante.""",B1
"""Nous ne voulions pas d’ascenseur, mais un voisin qui loue son appartement en voulait absolument un pour attirer les touristes.""",B1
"""Barbara Abdelilah-Bauer évoque un autre point : Encore aujourd’hui, certains pensent qu’un enfant élevé dans deux langues différentes réussit moins bien à l’école.""",B1
"""Noël Couedel, alors directeur de l’information, raconte : Dans l’équipe de direction, j’étais le seul à défendre sa candidature.""",B1
"""Ça nous a donc coûté de l’argent, s’énerve-t-elle.""",B1
"""Cependant, l’essentiel de son temps consiste à trouver de nouveaux clients et à proposer des visites de représentants commerciaux.""",B1
"""Pour un jeune informaticien, c’est la possibilité de développer ses premiers contacts professionnels et intéresser de futurs employeurs.""",B1
"""Selon moi, le risque est trop grand pour qu’on le prenne.""",B1
"""Par ailleurs, des éducateurs expliquent que ce n'est pas en poursuivant ces enfants que l'on réglera les problèmes des familles.""",B1
"""Curieusement, l’actuel président du groupe Radio-France ne se souvient pas du débat après l’arrivée de M. Aphatie : Son arrivée n’a pas été critiquée, car il était évident que Jean-Michel Aphatie avait beaucoup de présence à la radio.""",B1
"""Alexiane Da Silva l’a emmené sur une piste d’entraînement pour les chiens guides, un parcours qui reproduit les difficultés rencontrées dans la ville.""",B1
"""Les maires ont ainsi voulu montrer qu'ils les avaient à l'œil.""",B1
"""Grâce aux actions concertées de ces organisations, des milliers d’enfants sont chaque année tirés des griffes de la violence et de la guerre.""",B1
"""À 40 ans, il est usé.""",B1
"""Des parents qui n'arrivent pas à exercer pleinement leur autorité.""",B1
"""À la fin de sa formation, le chien saura parfaitement guider dans environ cinquante situations différentes et il pourra comprendre autant d’ordres.""",B1
"""Son futur maître doit également faire un stage de formation.""",B1
"""Son passage à Radio Luxembourg, en 2003, a été bien moins facile.""",B1
"""Les personnes handicapées restent victimes de forts préjugés dans le monde du travail.""",B1
"""Le centre, à 15 minutes en métro du centre, accueille souvent des expositions de photographies d’artistes locaux.""",B1
"""D'ailleurs, des voix s'élèvent pour dire qu'interdire ne sert à rien si l'on ne tente pas, en même temps, de renouer le dialogue entre les jeunes et le reste de la société.""",B1
"""Dans le domaine de la publicité, il peut vendre des espaces publicitaires.""",B1
"""On observe ainsi que le passage à l'acte est déterminant pour les chefs d'entreprises, puisqu'ils sont majoritairement satisfaits lorsqu'ils ont effectué une embauche , a commenté le directeur général de l'Adapt, Philippe Velut.""",B1
"""L’outil de travail, c’est le téléphone, avec lequel on fait tout : conseil, vente, suivi commercial mais surtout de la vente.""",B1
"""La délinquance des plus jeunes reste le fait d'une minorité.""",B1
"""Ce n’est vraiment pas simple de transmettre sa langue lorsqu’on n’est pas dans son pays d’origine !""",B1
"""On les appelle les nouveaux pères .""",B1
"""Depuis quelques années, on enregistre une augmentation de la violence chez les jeunes.""",B1
"""Les enfants et les ados de certains quartiers sont sous haute surveillance.""",B1
"""Facilement reconnaissables grâce à leurs tee-shirts vert anis et les coupe-vent orange, les 55 saisonniers ambassadeurs parlent 15 langues à eux tous et connaissent parfaitement la capitale.""",B1
"""Les horaires de travail sont parfois décalés en fonction de la nature et de la disponibilité des publics contactés (le soir par exemple).""",B1
"""Développer une pensée profonde en parlant comme les gens du Nord ?""",B1
"""De plus, ce dernier doit apprendre à bien tenir son chien pour permettre à l’animal de bien le conduire.""",B1
