Text,Difficulty,Text_english_translation
"Et après, on peut prendre un bain dans la piscine, l’eau est bonne !",A1,"And after, we can take a swim in the pool, the water is good!"
J’attends votre réponse.,A1,I am waiting for your answer.
À bientôt.,A1,See you soon.
"Serge, Papa est en voyage jusqu’à demain.",A1,"Serge, Papa is traveling until tomorrow."
"Je suis encore au bureau, je vais rentrer plus tard.",A1,"I&#39;m still at the office, I&#39;ll be home later."
Ne m’attends pas.,A1,Do not wait for me.
"J’ai préparé le repas, il est dans la cuisine.",A1,"I prepared the meal, it is in the kitchen."
Pour le dessert il y a de la mousse au chocolat.,A1,For dessert there is chocolate mousse.
"Ne te couche pas trop tard, tu vas à l’école demain.",A1,"Don&#39;t go to bed too late, you&#39;re going to school tomorrow."
Bises.,A1,Kisses.
L’école organise un festival de musique le 21 juin prochain.,A1,The school is organizing a music festival on June 21.
Comment ?,A1,How? &#39;Or&#39; What ?
C’est facile !,A1,It&#39;s easy !
Laurence attend votre inscription.,A1,Laurence is waiting for your registration.
Son bureau est entre la bibliothèque et la salle de dessin.,A1,His office is between the library and the drawing room.
L’inscription est gratuite et ouverte du 2 au 24 février.,A1,Registration is free and open from February 2 to 24.
"À partir de la gare routière, prendre l’avenue des Belges, puis tourner à gauche au cinéma Le Renoir.",A1,"From the bus station, take Avenue des Belges, then turn left at Le Renoir cinema."
"Continuer tout droit : vous êtes sur le cours Mirabeau, l’avenue principale de la ville d’Aix-en-Provence avec ses 4 magnifiques fontaines.",A1,"Continue straight on: you are on Cours Mirabeau, the main avenue in the city of Aix-en-Provence with its 4 magnificent fountains."
Le cours Mirabeau est connu pour ses nombreux cafés.,A1,Cours Mirabeau is known for its many cafes.
Vous pouvez vous arrêter pour prendre le petit déjeuner au café Les 2 garçons situé au numéro 53 du cours Mirabeau.,A1,"You can stop for breakfast at the Les 2 Garçons café located at number 53, Cours Mirabeau."
"Salut, moi c’est Laura.",A1,"Hi, I&#39;m Laura."
Tu aimes mon nouveau pull bleu?,A1,Do you like my new blue sweater?
"Le bleu, c’est ma couleur préférée mais je n’aime pas le vert!",A1,Blue is my favorite color but I don&#39;t like green!
"Bonjour, c’est mon dernier jour dans cette école.",A1,"Hello, this is my last day at this school."
"Je t’invite à une fête chez moi, dimanche 24 juin à 14h30.",A1,"I&#39;m inviting you to a party at my place, Sunday June 24 at 2:30 p.m."
"On va se déguiser, se maquiller, danser et chanter.",A1,"We&#39;re going to dress up, put on makeup, dance and sing."
On va manger des glaces et des bonbons.,A1,We&#39;re going to eat ice cream and candy.
"Toi, tu peux apporter un jus de fruits.",A1,You can bring some fruit juice.
À dimanche!,A1,See you on Sunday!
"Tu peux assister à des cours de danse, de hockey, et de gym.",A1,"You can attend dance, hockey, and gym classes."
N’oublie pas de venir avec des chaussures de sport.,A1,Don&#39;t forget to bring sports shoes.
Prends un pot de yaourt en verre.,A1,Take a glass jar of yogurt.
"Lave bien le pot de yaourt, il doit être propre!",A1,"Wash the yogurt pot well, it must be clean!"
"Découpe les feuilles de papier: fais des ronds, des carrés.",A1,"Cut out the sheets of paper: make circles, squares."
Colle les formes en papier sur le pot de yaourt.,A1,Glue the paper shapes onto the yogurt pot.
"Avec la peinture, faits des dessins sur le pot.",A1,"With the paint, draw pictures on the pot."
Mets la bougie dans le pot.,A1,Put the candle in the jar.
Salut!,A1,Hi!
Bonjour !,A1,Hello !
Comment ça va ?,A1,How is it going ?
Vous êtes musicien ?,A1,You are musician ?
"S’il pleut, allez visiter le musée Carnavalet sur l’Histoire de Paris et finissez la journée avec une pièce de théâtre à la Comédie-Française.",A2,"If it rains, visit the Carnavalet Museum on the History of Paris and end the day with a play at the Comédie-Française."
"Tu vas bien? Moi, je suis en vacances chez oncle Guillaume et tante Noémie.",A2,You&#39;re okay? I am on vacation with Uncle Guillaume and Aunt Noémie.
"C’est super, je fais plein de choses avec mes cousins: aujourd’hui, on est allés à la piscine et demain, on va faire du camping en forêt.",A2,"It&#39;s great, I do a lot of things with my cousins: today, we went to the swimming pool and tomorrow, we will go camping in the forest."
"Jeudi, on va au restaurant pour l’anniversaire de ma sœur.",A2,"Thursday, we go to the restaurant for my sister&#39;s birthday."
"Je vais lui offrir un livre que j’aime beaucoup : «Kurt et le poisson», tu connais?",A2,"I&#39;m going to give him a book that I really like: “Kurt and the Fish”, you know?"
"Et toi, ça va ?",A2,Are you okay?
"Quand je rentre, je demande à mes parents si je peux t’appeler pour avoir de tes nouvelles.",A2,"When I come home, I ask my parents if I can call you to hear from you."
À bientôt!,A2,See you soon!
Tu es fatigué en hiver?,A2,Are you tired in winter?
Voici quelques conseils pour t’aider.,A2,Here are some tips to help you.
"Mange des fruits comme les oranges, et aussi des légumes.",A2,"Eat fruits like oranges, and also vegetables."
"Le soir, ne regarde pas la télévision et ne joue pas sur l’ordinateur avant de te coucher.",A2,"At night, don&#39;t watch TV or play on the computer before going to bed."
Lis un livre pour être plus calme.,A2,Read a book to be calmer.
"Pour ne pas être malade, lave-toi souvent les mains et ne bois pas dans le verre d’un autre enfant.",A2,"To avoid getting sick, wash your hands often and don&#39;t drink from another child&#39;s glass."
"Pour avoir plus d’informations, tu peux venir voir le médecin de l’école tous les jours au bureau 4B, au 4e étage.",A2,"For more information, you can come and see the school doctor every day in office 4B, on the 4th floor."
"Quand tu sors de l’ascenseur, tourne à droite et encore à droite.",A2,"When you get out of the elevator, turn right and right again."
Le bureau est en face de la machine à café.,A2,The office is in front of the coffee machine.
"Chaque année au mois de mars, pour fêter l’arrivée du printemps, toutes les classes de l’école préparent des activités.",A2,"Every year in March, to celebrate the arrival of spring, all the school classes prepare activities."
C’est une fête très joyeuse où tout le monde met des vêtements pleins de couleurs.,A2,It&#39;s a very happy holiday where everyone puts on colorful clothes.
"Cette année, nous avons demandé à nos parents de faire des gâteaux et nous les avons vendus.",A2,"This year, we asked our parents to bake cakes and we sold them."
Nous avons gagné 206€.,A2,We won 206 €.
"Avec l’argent, notre professeur va acheter de la peinture et des crayons pour le cours de dessin.",A2,"With the money, our teacher will buy paint and pencils for the drawing class."
La classe de Mme Gaudé a fait une pièce de théâtre en anglais et la classe de M. Prêche a présenté un spectacle de danse.,A2,Ms. Gaudé&#39;s class did a play in English and Mr. Prêche&#39;s class put on a dance performance.
Il y a eu beaucoup de spectateurs et tout le monde a bien aimé la Fête.,A2,There were a lot of spectators and everyone enjoyed the Feast.
"Pour moi, tout va bien.",A2,"For me, everything is fine."
Je t’écris pour te dire que je vais partir cet été en Corse avec ma famille.,A2,I am writing to tell you that I will be leaving for Corsica this summer with my family.
"La Corse est une petite île au sud de la France, dans la mer Méditerranée.",A2,"Corsica is a small island in the south of France, in the Mediterranean Sea."
"Mes parents disent que l’île est très jolie : il y a de très belles plages, on va pouvoir nager.",A2,"My parents say that the island is very pretty: there are very beautiful beaches, we will be able to swim."
Il paraît qu’on mange bien : l’une des spécialités de l’île est le fromage de chèvre.,A2,They say we eat well: one of the island&#39;s specialties is goat cheese.
J’adore ça.,A2,I love that.
"Nous partons le 2 juillet en bateau, après les examens de mon frère et nous rentrons en France le 30 juillet.",A2,"We leave on July 2 by boat, after my brother&#39;s exams, and we return to France on July 30."
"Et toi, qu’est-ce que tu vas faire ?",A2,"And you, what are you going to do?"
Faire fondre le beurre et le sucre pour former du caramel.,A2,Melt the butter and sugar to form caramel.
Verser dans un moule.,A2,Pour into a mold.
Couper les pommes en petits morceaux et les mettre sur le caramel,A2,Cut the apples into small pieces and put them on the caramel
Attention : le caramel doit être déjà froid.,A2,Please note: the caramel must be already cold.
Ajouter un peu de cannelle.,A2,Add a little cinnamon.
Étaler la pâte au rouleau à pâtisserie et la mettre sur les pommes.,A2,Roll out the dough with a rolling pin and place it on the apples.
Cuire environ 30 minutes au four à 180-200°C.,A2,Bake for about 30 minutes in the oven at 180-200 ° C.
"Quand la tarte est cuite, la sortir du four et la retourner pour la servir.",A2,"When the pie is done, take it out of the oven and turn it over to serve."
"La tarte Tatin est délicieuse tiède, accompagnée d’une boule de glace à la vanille ou encore d’une cuillère de crème.",A2,"The tarte Tatin is delicious warm, accompanied by a scoop of vanilla ice cream or a spoon of cream."
"Du 17 au 18 mars, découvrez les sciences avec de jeunes Québécois !",A2,"From March 17 to 18, discover science with young Quebecers!"
La compétition « Expo-sciences » permet à des jeunes âgés de 15 à 20 ans de présenter pendant deux jours aux visiteurs un projet scientifique qui les passionne.,A2,The “Expo-sciences” competition allows young people aged 15 to 20 to present to visitors for two days a scientific project that fascinates them.
Elle permet aussi de montrer que les sciences et les technologies sont faciles et intéressantes.,A2,It also helps to show that science and technology are easy and interesting.
Rendez-vous au cégep de Drummondville pour participer à cet événement organisé chaque année par le Conseil du loisir scientifique.,A2,Meet at the Cégep de Drummondville to participate in this event organized each year by the Scientific Leisure Council.
"Heures d’ouverture au public Samedi 17 mars, de 13h à 16h45.",A2,"Opening hours to the public Saturday March 17, 1 p.m. to 4:45 p.m."
"Dimanche 18 mars, de 9h30 à 12h et de 13h à 14h15.",A2,"Sunday March 18, 9:30 a.m. to 12 p.m. and 1 p.m. to 2.15 p.m."
Cérémonie de remise de prix le dimanche à 14h30.,A2,Prize-giving ceremony on Sunday at 2:30 p.m.
"Au total, des prix d’une valeur de 20 000 $ sont à gagner !",A2,"In total, prizes worth $ 20,000 are up for grabs!"
Tu veux venir avec moi demain soir au concert du chanteur M ?,A2,Do you want to come with me tomorrow night to singer M&#39;s concert?
Il me reste une place.,A2,I have one place left.
Réponds-moi vite !,A2,Answer me quickly !
"Quand on est ado, on se pose des tas de questions.",A2,"When you&#39;re a teenager, you ask yourself lots of questions."
"On a envie de savoir, de comprendre et de se détendre.",A2,"We want to know, understand and relax."
"Tous les 15 jours, Okapi emmène les 10-15 ans à la découverte du monde et propose.",A2,"Every 15 days, Okapi takes 10-15 year olds to discover the world and offers."
Des réponses aux questions que l’on se pose sur soi et sur les autres.,A2,Answers to the questions we ask ourselves about ourselves and about others.
"Dans chaque numéro, Okapi ouvre des espaces de discussion où garçons et filles échangent et se confient.",A2,"In each issue, Okapi opens discussion spaces where boys and girls exchange and confide."
"Le meilleur de l’actualité cinéma, musique, livres et jeux.",A2,"The best of cinema, music, books and games news."
"Okapi fait partager ses coups de cœur : rencontres de stars, critiques, choix des lecteurs.",A2,"Okapi shares his favorites: meeting stars, reviews, readers&#39; choices."
"Sans oublier les incontournables rendez-vous BD, les jeux et les concours!",A2,"Not to mention the unmissable comic book events, games and contests!"
Visitez le site Internet du magazine.,A2,Visit the magazine&#39;s website.
Bimensuel créé en 1971.,A2,Bimonthly created in 1971.
Les vacances approchent et j’aimerais bien te voir !,A2,The holidays are approaching and I would like to see you!
Je sais que tu ne connais pas Paris alors je te propose de venir passer quelques jours chez moi.,A2,I know you don&#39;t know Paris so I suggest you come and spend a few days with me.
"Visite des musées, tour Eiffel, théâtres, cinés, bons restaurants.",A2,"Visit of museums, Eiffel Tower, theaters, cinemas, good restaurants."
Réponds-moi vite et fais ta réservation pour venir.,A2,Answer me quickly and make your reservation to come.
Si tu veux tu peux aussi m’appeler ; je suis chez moi vers 20 h 30.,A2,If you want you can also call me; I&#39;m home around 8:30 p.m.
Je t’embrasse.,A2,I kiss you.
Comment peut-on aimer l'école ?,A2,How can we like school?
C'est la question que se pose Grégoire.,A2,This is the question that Grégoire asks himself.
"Ou plutôt, il ne se la pose plus : il n'aime pas l'école, il la déteste.",A2,"Or rather, he no longer asks himself: he doesn&#39;t like school, he hates it."
Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,A2,"After all, what does she offer him besides boredom and a big ball of anguish in the pit of her stomach?"
"Grégoire est nul à l'école, tellement nul qu'à treize ans il est toujours en sixième.",A2,"Grégoire sucks at school, so sucks that at thirteen he&#39;s still in sixth grade."
"Pourtant, Grégoire est loin d'être un idiot, il est même plein de de talents !",A2,"However, Grégoire is far from being an idiot, he is even full of talents!"
"Ce qu'il aime par dessus tout, c'est le bricolage.",A2,What he loves above all is DIY.
Il a déjà inventé une machine à enlever la peau des bananes !,A2,He has already invented a banana peel machine!
"La seule personne qui le comprenne vraiment, c'est son grand-père, avec lequel il passe de longues heures à bricoler dans la petite maison du jardin.",A2,"The only person who really understands him is his grandfather, with whom he spends long hours tinkering in the little house in the garden."
"Pourtant, lorsque Grégoire est renvoyé du collège, le vieil homme se fâche.",A2,"However, when Gregory is expelled from college, the old man gets angry."
Anna Gavalda signe ici son tout premier roman pour la jeunesse.,A2,Anna Gavalda signs here her very first novel for young people.
"Un roman émouvant, où il est question d'apprendre à vivre, de trouver sa place parmi les autres.",A2,"A moving novel, where it is about learning to live, to find your place among others."
C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.,A2,It is with his grandfather that Grégoire will find the courage to fight to become someone and simply grow up.
"Une histoire très touchante, servie par la plume d'Anna Gavalda qui n'a pas son pareil pour dire simplement les émotions et les sentiments les plus forts.",A2,"A very touching story, served by the pen of Anna Gavalda who has no equal for simply expressing the strongest emotions and feelings."
"Madame, Monsieur, Vous devez acheter des titres de transports (métro, bus, tramway, train) dans le cadre de vos déplacements professionnels.",A2,"Madam, Sir, You must buy transport tickets (metro, bus, tram, train) as part of your business trips."
"Pour cela, vous pouvez utiliser le moyen de paiement que vous désirez (chèque, liquide, carte bancaire).",A2,"For that, you can use the means of payment which you wish (check, cash, bank card)."
"Lors de l’achat de vos billets, n’oubliez surtout pas de : préciser votre situation familiale (réductions possibles), demander le justificatif (facture justifiant le paiement).",A2,"When purchasing your tickets, don&#39;t forget to: specify your family situation (reductions possible), ask for the proof (invoice justifying the payment)."
"Pour le remboursement, envoyez au bureau du personnel, à la fin du mois, vos titres de transports utilisés.",A2,"For reimbursement, send your used tickets to the personnel office at the end of the month."
"Dans le cas d’un premier remboursement, joignez un relevé d’identité bancaire (RIB).",A2,"In the case of a first refund, attach a bank identity statement (RIB)."
"Précisez également votre identité, votre fonction et le service pour lequel vous travaillez.",A2,"Also specify your identity, your function and the department for which you work."
Arrêtez toute activité.,A2,Stop all activity.
Dirigez-vous avec calme vers la sortie.,A2,Head calmly to the exit.
Respectez l’interdiction d’utiliser les ascenseurs.,A2,Observe the ban on using the elevators.
Respectez les consignes qui pourront vous être données par les responsables chargés de coordonner les opérations d’évacuation.,A2,Follow the instructions that may be given to you by those in charge of coordinating evacuation operations.
Restez solidaires des autres personnes et portez assistance aux personnes handicapées.,A2,Stand in solidarity with other people and provide assistance to people with disabilities.
Fermez les fenêtres et les portes.,A2,Close windows and doors.
Respectez l’interdiction de revenir sur ses pas.,A2,Respect the ban on retracing your steps.
Rejoignez très rapidement le point de rassemblement indiqué sur le plan d’évacuation.,A2,Very quickly reach the assembly point indicated on the evacuation plan.
Nous recherchons des personnes qui veulent progresser et travailler en équipe.,A2,We are looking for people who want to progress and work as a team.
"Il n’y a pas de formation idéale, mais il faut au minimum avoir un diplôme Bac + 2.",A2,"There is no ideal training, but you must at least have a Bac + 2 diploma."
Nous ne recherchons pas de CV parfaits mais nous voulons y retrouver la personnalité du candidat.,A2,We are not looking for perfect CVs but we want to find the candidate&#39;s personality in them.
"Après une première sélection des CV, nous contactons le candidat au téléphone pour connaître ses motivations.",A2,"After a first selection of CVs, we contact the candidate by phone to find out his motivations."
Un CV clair et lisible est important mais pas autant qu’un entretien téléphonique.,A2,"A clear and readable CV is important, but not as important as a telephone interview."
Nous visitons aussi beaucoup les réseaux sociaux d’Internet.,A2,We also visit social networks on the Internet a lot.
"Alors, comment se passe ton installation dans ton nouveau poste ?",A2,"So, how is your installation in your new position?"
J’ai vu Christine et elle m’a dit que tout va bien pour toi.,A2,I saw Christine and she told me that all is well with you.
Mais c’est tout.,A2,But that&#39;s all.
"Écris-moi pour me raconter ce que tu fais, comment sont tes nouveaux collègues et comment ça va avec ton chef.",A2,"Write to me to tell me what you do, how are your new colleagues and how things are going with your boss."
C’est avec grand plaisir que je vous envoie ce message pour vous décrire votre voyage à Paris en notre compagnie.,A2,It is with great pleasure that I send you this message to describe your trip to Paris with us.
"À votre arrivée, le 7 juin prochain, nous allons vous accueillir à l’aéroport pour vous conduire à votre hôtel.",A2,"When you arrive on June 7th, we will meet you at the airport to drive you to your hotel."
"Puis, du 8 au 17 juin, vous allez visiter la capitale de notre pays accompagnés de notre guide, Hervé, qui va vous faire découvrir les musées, les rues, les boutiques mais aussi les restaurants de Paris.",A2,"Then, from June 8 to 17, you will visit the capital of our country accompanied by our guide, Hervé, who will make you discover the museums, the streets, the shops but also the restaurants of Paris."
N’oubliez pas votre appareil photo !,A2,Do not forget your camera !
Les températures en ce moment à Paris sont comprises entre 20 et 24 degrés.,A2,Temperatures in Paris at the moment are between 20 and 24 degrees.
Un climat délicieux.,A2,A delicious climate.
À très bientôt.,A2,See you soon.
"Utile dans la vie privée et professionnelle, quel est l’ordinateur portable idéal ?",A2,"Useful in private and professional life, what is the ideal laptop?"
Suivez nos conseils !,A2,Follow our advice!
"Avant de faire cet achat, vous devez comparer les ordinateurs en fonction du poids, de la taille, etc.",A2,"Before making this purchase, you should compare computers based on weight, size, etc."
"Bref : réfléchir à l’utilisation que vous allez en avoir et non pas en fonction du prix, même mini !",A2,"In short: think about the use that you will have of it and not according to the price, even mini!"
"Cette année, le soixante-cinquième Festival de Cannes, qui va avoir lieu du 16 au 27 juin, est différent avec de nombreux films sud-américains et asiatiques.",A2,"This year, the sixty-fifth Cannes Film Festival, which will take place from June 16 to 27, is different with many South American and Asian films."
Un choix difficile mais important : le public français écoute souvent les professionnels de Cannes pour choisir le film qu’il va aller voir au cinéma.,A2,A difficult but important choice: the French public often listens to professionals at Cannes to choose the film they are going to see in the cinema.
"L’actrice française Bérénice Béjo, qui a gagné un prix pour son dernier film le 24 février dernier, va ouvrir la fête le 16 juin.",A2,"French actress Bérénice Béjo, who won an award for her latest film on February 24, will open the party on June 16."
Le président du festival va annoncer le grand gagnant le soir du 27 juin.,A2,The president of the festival will announce the big winner on the evening of June 27.
Pas un villageois n’y échappe.,A2,Not a single villager escapes.
"« La ferme » de TF1, est aujourd’hui le principal sujet de discussion à Visan (Vaucluse), du salon de coiffure à la boulangerie.",A2,"“The farm” of TF1 is today the main topic of discussion in Visan (Vaucluse), from the hairdressing salon to the bakery."
C’est dans ce village de 1638 habitants que sont implantés les locaux de la nouvelle émission de téléréalité.,A2,"It is in this village of 1,638 inhabitants that the premises of the new reality show are located."
Une vingtaine de célébrités sont enfermées dans une ferme pour y travailler.,A2,About twenty celebrities are locked in a farm to work there.
"Au village, il y a les pour et les contre. Mais les enthousiastes sont les plus nombreux.",A2,"In the village, there are pros and cons. But the enthusiasts are the most numerous."
"Au café, le patron allume la télé à l’heure de l’émission : Les clients la regardent, chacun y va de son commentaire.",A2,"In the cafe, the boss turns on the TV at the time of the show: The customers watch it, everyone has their own commentary."
"Souvent, des passants nous demandent où est située la ferme.",A2,Often passers-by ask us where the farm is located.
Des passants parfois envahissants : 400 voitures ont débarqué le lundi de Pâques.,A2,Sometimes intrusive passers-by: 400 cars disembarked on Easter Monday.
"Je n’avais jamais vu autant de monde à Visan, confie Claude, agriculteur.",A2,"I had never seen so many people in Visan, says Claude, a farmer."
"Certains bénéficient déjà de retombées économiques, comme Géraldine, la boulangère.",A2,"Some are already benefiting from economic spinoffs, such as Geraldine, the baker."
"On fournit de 30 à 80 baguettes par jour à la production, c’est rentable.",A2,"We supply 30 to 80 baguettes per day to the production, it is profitable."
"Théo, de la cave de Visan, livre à la ferme entre 50 et 60 bouteilles tous les dix jours.",A2,"Théo, from the Visan cellar, delivers to the farm between 50 and 60 bottles every ten days."
Nous sommes dans une région viticole.,A2,We are in a wine region.
"Si seulement 10 % des téléspectateurs retiennent que les célébrités boivent du vin de chez nous, on aura réussi.",A2,"If only 10% of viewers remember that celebrities drink our wine, we will have succeeded."
D’autres sont plus critiques.,A2,Others are more critical.
"Raphaël, aide-soignant, espérait que La ferme donnerait une meilleure image de Visan.",A2,"Raphaël, a caregiver, hoped that La ferme would give a better image of Visan."
Mais les journalistes nous snobent et nous étiquettent paysans.,A2,But journalists snub us and label us peasants.
"Vivement que tout soit fini, que le village redevienne ce qu’il était.",A2,"I can&#39;t wait for everything to be over, for the village to become what it was."
Il ne reste donc plus qu’à attendre.,A2,It only remains to wait.
"Attendre de retrouver la tranquillité pour certains, attendre les retombées financières pour d’autres.",A2,"Waiting for peace to be restored for some, waiting for the financial repercussions for others."
Vous aimez les voyages ?,A2,Do you like travelling ?
Vous aimez l’aventure ?,A2,Do you like adventure?
"Alors, lisez ce message !",A2,So read this post!
"AVENTURE GLOBALE vous invite à faire le tour du monde en bateau, à bord d’un magnifique voilier.",A2,"GLOBAL ADVENTURE invites you to go around the world by boat, aboard a magnificent sailboat."
"La mer des Caraïbes, les plages du Pacifique Sud et les mythiques îles de la Méditerranée vous attendent !",A2,"The Caribbean Sea, the beaches of the South Pacific and the mythical islands of the Mediterranean await you!"
"N’hésitez plus et prenez contact avec nous, vous allez vivre l’expérience la plus inoubliable de votre vie.",A2,"Do not hesitate any longer and contact us, you will live the most unforgettable experience of your life."
Enregistrez-vous immédiatement et participez à notre grand tirage au sort de la croisière de vos rêves.,A2,Register immediately and enter our grand raffle for the cruise of your dreams.
Vous recevrez sans obligation d’achat notre catalogue de voyages à des prix sans concurrence.,A2,You will receive without obligation to purchase our travel catalog at unrivaled prices.
Les deux auteurs du guide classement 2005 des boulangeries de Paris ont élu les meilleures boulangeries de la capitale.,A2,The two authors of the 2005 Paris bakery ranking guide voted the best bakeries in the capital.
"D’abord, ils ont jugé la qualité du service, la présentation et la décoration des boutiques.",A2,"First, they judged the quality of the service, the presentation and the decoration of the shops."
"Ensuite, ils ont goûté la baguette et le croissant au beurre.",A2,Then they tasted the baguette and the butter croissant.
"Après avoir visité une sélection de 200 boulangeries, les auteurs ont fait un classement.",A2,"After visiting a selection of 200 bakeries, the authors made a ranking."
Ce guide est disponible dans toutes les librairies au prix de 6 euros.,A2,This guide is available in all bookstores at a price of 6 euros.
Les Parisiens sauront maintenant où aller acheter leur pain !,A2,Parisians will now know where to go to buy their bread!
Vous avez une voiture mais vous l'utilisez peu ?,A2,Do you have a car but don&#39;t use it a lot?
Vous pouvez payer moins cher votre assurance auto : payez au kilomètre !,A2,You can pay less for your car insurance: pay by the kilometer!
"Pour profiter de cette offre, contactez au plus vite votre conseiller Assurancetourisc.",A2,"To take advantage of this offer, contact your Assurancetourisc advisor as soon as possible."
Ce désodorisant rafraîchit et parfume agréablement votre maison.,A2,This deodorant refreshes and pleasantly scents your home.
Bien agiter avant l’emploi.,A2,Shake well before use.
Vaporiser vers le haut pendant 2 à 3 secondes.,A2,Spray upwards for 2 to 3 seconds.
Conserver loin d’une source de chaleur.,A2,Keep away from a source of heat.
Ne pas avaler.,A2,Do not swallow.
Ne pas respirer les aérosols.,A2,Do not breathe aerosols.
Utiliser seulement dans des zones bien ventilées.,A2,Use only in well-ventilated areas.
"En cas de projection dans les yeux, rincer immédiatement et abondamment à l’eau.",A2,"If splashed in the eyes, rinse immediately with plenty of water."
"Si des douleurs apparaissent, consulter un spécialiste et lui montrer l’étiquette du produit.",A2,"If pain appears, consult a specialist and show him the product label."
Servez avec des quartiers de citron.,A2,Serve with lemon wedges.
Bon appétit !,A2,Enjoy your meal !
"Passez-les dans la farine, puis dans l’œuf battu et enfin dans la chapelure.",A2,"Dip them in the flour, then in the beaten egg and finally in the breadcrumbs."
"En premier, battez les œufs.",A2,"First, beat the eggs."
"Quand il commence à grésiller, mettez-y les escalopes à feu doux pendant 12 minutes.",A2,"When it starts to sizzle, put the cutlets on low for 12 minutes."
"Ensuite, salez et poivrez les escalopes.",A2,"Then, salt and pepper the cutlets."
"En troisième, chauffez le beurre dans une grande poêle.",A2,"Third, heat the butter in a large skillet."
Des ambassadeurs et un guide estival pour mieux accueillir les touristes.,A2,Ambassadors and a summer guide to better welcome tourists.
"Depuis 2001, les ambassadeurs de l’accueil se mettent, chaque été, au service des visiteurs français et étrangers.",A2,"Since 2001, hospitality ambassadors have been at the service of French and foreign visitors every summer."
"Cette année, du 18 juin au 31 août, ils seront là pour vous aider et vous conseiller !",A2,"This year, from June 18 to August 31, they will be there to help and advise you!"
Où retrouver les Ambassadeurs de l'accueil?,A2,Where can I find the Hospitality Ambassadors?
"Vous les trouverez sur les sites les plus fréquentés de la ville : Bastille, Champs Elysées, Notre-Dame, Hôtel de Ville, Aéroport Roissy Charles de Gaulle, Paris Plage, Place Colette et Pigalle.",A2,"You will find them on the most frequented sites of the city: Bastille, Champs Elysées, Notre-Dame, Hôtel de Ville, Roissy Charles de Gaulle Airport, Paris Plage, Place Colette and Pigalle."
Comment les reconnaître?,A2,How to recognize them?
Quand les rencontrer?,A2,When to meet them?
"Ils seront présents chaque jour de 10h à 19h pour distribuer guides et plans de la ville, suggérer des balades insolites ou traditionnelles.",A2,"They will be present every day from 10 a.m. to 7 p.m. to distribute guides and maps of the city, suggest unusual or traditional walks."
"Ils vous offriront la brochure “J’aime l’été à Paris"", éditée à 1 000 000 d’exemplaires et pourront faire découvrir à tous les visiteurs la richesse de la programmation culturelle estivale.",A2,"They will offer you the brochure “I love the summer in Paris”, published in 1,000,000 copies and will allow all visitors to discover the richness of the summer cultural program."
Merci de me remplacer pour servir les clients au magasin.,A2,Thank you for replacing me to serve customers at the store.
"Tous les prix sont affichés, mais si besoin, j’ai mis la liste des prix à côté de la caisse.",A2,"All the prices are displayed, but if necessary, I put the price list next to the checkout."
"Pour rappel, les chèques ne sont pas acceptés.",A2,"As a reminder, checks are not accepted."
